	Frame	X	Y	Z	Reliability
	1	0.720095	0.306083	0.069960	0.000000
  	2	0.724555	0.306787	0.069478	0.000000
  	3	0.728822	0.307487	0.068962	0.000000
  	4	0.732811	0.308158	0.068436	0.000000
  	5	0.736454	0.308775	0.067922	0.000000
  	6	0.739713	0.309312	0.067445	0.000000
  	7	0.742576	0.309746	0.067025	0.000000
  	8	0.745062	0.310061	0.066684	0.000000
  	9	0.747210	0.310248	0.066436	0.000000
  	10	0.749075	0.310302	0.066292	0.000000
  	11	0.750715	0.310225	0.066252	0.000000
  	12	0.752181	0.310025	0.066309	0.000000
  	13	0.753512	0.309715	0.066451	0.000000
  	14	0.754729	0.309317	0.066662	0.000000
  	15	0.755843	0.308859	0.066921	0.000000
  	16	0.756854	0.308373	0.067210	0.000000
  	17	0.757760	0.307888	0.067513	0.000000
  	18	0.758558	0.307431	0.067814	0.000000
  	19	0.759252	0.307024	0.068102	0.000000
  	20	0.759845	0.306682	0.068370	0.000000
  	21	0.760342	0.306416	0.068612	0.000000
  	22	0.760749	0.306229	0.068824	0.000000
  	23	0.761072	0.306117	0.069006	0.000000
  	24	0.761317	0.306070	0.069158	0.000000
  	25	0.761495	0.306070	0.069284	0.000000
  	26	0.761614	0.306101	0.069389	0.000000
  	27	0.761686	0.306144	0.069476	0.000000
  	28	0.761721	0.306186	0.069552	0.000000
  	29	0.761728	0.306213	0.069619	0.000000
  	30	0.761714	0.306217	0.069681	0.000000
  	31	0.761688	0.306193	0.069742	0.000000
  	32	0.761653	0.306139	0.069803	0.000000
  	33	0.761615	0.306059	0.069867	0.000000
  	34	0.761577	0.305956	0.069934	0.000000
  	35	0.761541	0.305838	0.070004	0.000000
  	36	0.761510	0.305713	0.070077	0.000000
  	37	0.761487	0.305590	0.070154	0.000000
  	38	0.761475	0.305477	0.070233	0.000000
  	39	0.761475	0.305380	0.070316	0.000000
  	40	0.761489	0.305303	0.070402	0.000000
  	41	0.761519	0.305247	0.070492	0.000000
  	42	0.761563	0.305209	0.070588	0.000000
  	43	0.761620	0.305187	0.070690	0.000000
  	44	0.761690	0.305177	0.070798	0.000000
  	45	0.761770	0.305175	0.070913	0.000000
  	46	0.761859	0.305178	0.071035	0.000000
  	47	0.761954	0.305183	0.071162	0.000000
  	48	0.762055	0.305189	0.071294	0.000000
  	49	0.762158	0.305197	0.071429	0.000000
  	50	0.762264	0.305206	0.071567	0.000000
  	51	0.762369	0.305217	0.071705	0.000000
  	52	0.762475	0.305232	0.071845	0.000000
  	53	0.762579	0.305252	0.071984	0.000000
  	54	0.762682	0.305275	0.072122	0.000000
  	55	0.762784	0.305303	0.072260	0.000000
  	56	0.762885	0.305333	0.072396	0.000000
  	57	0.762988	0.305364	0.072531	0.000000
  	58	0.763091	0.305395	0.072663	0.000000
  	59	0.763198	0.305427	0.072793	0.000000
  	60	0.763308	0.305458	0.072919	0.000000
  	61	0.763424	0.305490	0.073042	0.000000
  	62	0.763545	0.305523	0.073161	0.000000
  	63	0.763670	0.305561	0.073277	0.000000
  	64	0.763795	0.305606	0.073394	0.000000
  	65	0.763916	0.305660	0.073515	0.000000
  	66	0.764030	0.305723	0.073644	0.000000
  	67	0.764136	0.305795	0.073783	0.000000
  	68	0.764234	0.305875	0.073936	0.000000
  	69	0.764324	0.305963	0.074101	0.000000
  	70	0.764411	0.306056	0.074279	0.000000
  	71	0.764496	0.306152	0.074468	0.000000
  	72	0.764583	0.306248	0.074667	0.000000
  	73	0.764675	0.306340	0.074873	0.000000
  	74	0.764773	0.306428	0.075087	0.000000
  	75	0.764880	0.306510	0.075306	0.000000
  	76	0.764996	0.306588	0.075532	0.000000
  	77	0.765122	0.306663	0.075765	0.000000
  	78	0.765259	0.306738	0.076007	0.000000
  	79	0.765407	0.306816	0.076259	0.000000
  	80	0.765568	0.306901	0.076523	0.000000
  	81	0.765743	0.306995	0.076803	0.000000
  	82	0.765932	0.307101	0.077103	0.000000
  	83	0.766138	0.307222	0.077425	0.000000
  	84	0.766361	0.307355	0.077776	0.000000
  	85	0.766602	0.307502	0.078161	0.000000
  	86	0.766863	0.307658	0.078586	0.000000
  	87	0.767145	0.307822	0.079057	0.000000
  	88	0.767449	0.307991	0.079583	0.000000
  	89	0.767777	0.308160	0.080170	0.000000
  	90	0.768131	0.308327	0.080828	0.000000
  	91	0.768514	0.308486	0.081563	0.000000
  	92	0.768931	0.308635	0.082388	0.000000
  	93	0.769386	0.308770	0.083313	0.000000
  	94	0.769887	0.308888	0.084350	0.000000
  	95	0.770442	0.308987	0.085515	0.000000
  	96	0.771060	0.309065	0.086822	0.000000
  	97	0.771754	0.309122	0.088287	0.000000
  	98	0.772536	0.309156	0.089925	0.000000
  	99	0.773423	0.309169	0.091749	0.000000
  	100	0.774431	0.309162	0.093774	0.000000
  	101	0.775579	0.309135	0.096013	0.000000
  	102	0.776889	0.309090	0.098475	0.000000
  	103	0.778383	0.309027	0.101172	0.000000
  	104	0.780082	0.308944	0.104112	0.000000
  	105	0.782012	0.308844	0.107301	0.000000
  	106	0.784197	0.308725	0.110743	0.000000
  	107	0.786661	0.308590	0.114440	0.000000
  	108	0.789428	0.308440	0.118391	0.000000
  	109	0.792519	0.308275	0.122590	0.000000
  	110	0.795950	0.308098	0.127028	0.000000
  	111	0.799733	0.307909	0.131694	0.000000
  	112	0.803877	0.307712	0.136571	0.000000
  	113	0.808379	0.307511	0.141636	0.000000
  	114	0.813235	0.307308	0.146864	0.000000
  	115	0.818429	0.307110	0.152221	0.000000
  	116	0.823943	0.306920	0.157670	0.000000
  	117	0.829753	0.306744	0.163166	0.000000
  	118	0.835840	0.306589	0.168658	0.000000
  	119	0.842185	0.306463	0.174087	0.000000
  	120	0.848778	0.306376	0.179386	0.000000
  	121	0.855617	0.306338	0.184485	0.000000
  	122	0.862706	0.306357	0.189310	0.000000
  	123	0.870055	0.306439	0.193787	0.000000
  	124	0.877674	0.306584	0.197845	0.000000
  	125	0.885572	0.306783	0.201422	0.000000
  	126	0.893754	0.307021	0.204466	0.000000
  	127	0.902220	0.307278	0.206936	0.000000
  	128	0.910970	0.307534	0.208799	0.000000
  	129	0.920002	0.307772	0.210036	0.000000
  	130	0.929311	0.307977	0.210633	0.000000
  	131	0.938898	0.308140	0.210589	0.000000
  	132	0.948763	0.308258	0.209907	0.000000
  	133	0.958909	0.308331	0.208602	0.000000
  	134	0.969342	0.308366	0.206695	0.000000
  	135	0.980072	0.308374	0.204210	0.000000
  	136	0.991107	0.308370	0.201181	0.000000
  	137	1.002455	0.308367	0.197647	0.000000
  	138	1.014123	0.308376	0.193653	0.000000
  	139	1.026112	0.308407	0.189248	0.000000
  	140	1.038418	0.308462	0.184489	0.000000
  	141	1.051033	0.308547	0.179434	0.000000
  	142	1.063946	0.308666	0.174141	0.000000
  	143	1.077143	0.308824	0.168667	0.000000
  	144	1.090612	0.309028	0.163063	0.000000
  	145	1.104339	0.309280	0.157381	0.000000
  	146	1.118309	0.309576	0.151668	0.000000
  	147	1.132505	0.309910	0.145971	0.000000
  	148	1.146909	0.310273	0.140333	0.000000
  	149	1.161503	0.310655	0.134793	0.000000
  	150	1.176271	0.311048	0.129383	0.000000
  	151	1.191198	0.311444	0.124131	0.000000
  	152	1.206267	0.311838	0.119057	0.000000
  	153	1.221460	0.312225	0.114183	0.000000
  	154	1.236751	0.312608	0.109525	0.000000
  	155	1.252111	0.312986	0.105102	0.000000
  	156	1.267509	0.313354	0.100929	0.000000
  	157	1.282916	0.313705	0.097020	0.000000
  	158	1.298301	0.314023	0.093382	0.000000
  	159	1.313628	0.314294	0.090022	0.000000
  	160	1.328862	0.314505	0.086941	0.000000
  	161	1.343971	0.314656	0.084141	0.000000
  	162	1.358918	0.314753	0.081621	0.000000
  	163	1.373669	0.314806	0.079377	0.000000
  	164	1.388183	0.314831	0.077398	0.000000
  	165	1.402419	0.314842	0.075670	0.000000
  	166	1.416329	0.314857	0.074174	0.000000
  	167	1.429866	0.314893	0.072889	0.000000
  	168	1.442976	0.314964	0.071790	0.000000
  	169	1.455607	0.315080	0.070852	0.000000
  	170	1.467704	0.315246	0.070048	0.000000
  	171	1.479214	0.315465	0.069353	0.000000
  	172	1.490087	0.315736	0.068743	0.000000
  	173	1.500276	0.316054	0.068198	0.000000
  	174	1.509741	0.316412	0.067698	0.000000
  	175	1.518445	0.316799	0.067231	0.000000
  	176	1.526359	0.317198	0.066786	0.000000
  	177	1.533465	0.317591	0.066361	0.000000
  	178	1.539754	0.317963	0.065954	0.000000
  	179	1.545234	0.318295	0.065572	0.000000
  	180	1.549927	0.318572	0.065221	0.000000
  	181	1.553872	0.318781	0.064913	0.000000
  	182	1.557127	0.318911	0.064661	0.000000
  	183	1.559768	0.318956	0.064473	0.000000
  	184	1.561889	0.318912	0.064357	0.000000
  	185	1.563588	0.318780	0.064315	0.000000
  	186	1.564968	0.318561	0.064344	0.000000
  	187	1.566116	0.318260	0.064439	0.000000
  	188	1.567098	0.317884	0.064590	0.000000
  	189	1.567955	0.317451	0.064785	0.000000
  	190	1.568708	0.316983	0.065011	0.000000
  	191	1.569365	0.316506	0.065255	0.000000
  	192	1.569932	0.316049	0.065506	0.000000
  	193	1.570415	0.315632	0.065754	0.000000
  	194	1.570820	0.315274	0.065994	0.000000
  	195	1.571155	0.314985	0.066220	0.000000
  	196	1.571425	0.314769	0.066427	0.000000
  	197	1.571635	0.314622	0.066612	0.000000
  	198	1.571790	0.314538	0.066772	0.000000
  	199	1.571896	0.314504	0.066908	0.000000
  	200	1.571959	0.314504	0.067020	0.000000
  	201	1.571986	0.314523	0.067109	0.000000
  	202	1.571986	0.314550	0.067181	0.000000
  	203	1.571966	0.314573	0.067237	0.000000
  	204	1.571932	0.314585	0.067281	0.000000
  	205	1.571891	0.314584	0.067316	0.000000
  	206	1.571848	0.314567	0.067346	0.000000
  	207	1.571808	0.314535	0.067372	0.000000
  	208	1.571775	0.314491	0.067398	0.000000
  	209	1.571752	0.314439	0.067428	0.000000
  	210	1.571743	0.314381	0.067464	0.000000
  	211	1.571748	0.314320	0.067509	0.000000
  	212	1.571769	0.314257	0.067565	0.000000
  	213	1.571804	0.314193	0.067634	0.000000
  	214	1.571852	0.314127	0.067718	0.000000
  	215	1.571914	0.314060	0.067818	0.000000
  	216	1.571988	0.313992	0.067933	0.000000
  	217	1.572074	0.313925	0.068061	0.000000
  	218	1.572171	0.313863	0.068201	0.000000
  	219	1.572279	0.313806	0.068349	0.000000
  	220	1.572396	0.313756	0.068503	0.000000
  	221	1.572520	0.313713	0.068662	0.000000
  	222	1.572648	0.313678	0.068824	0.000000
  	223	1.572778	0.313650	0.068986	0.000000
  	224	1.572908	0.313627	0.069149	0.000000
  	225	1.573036	0.313609	0.069312	0.000000
  	226	1.573161	0.313597	0.069474	0.000000
  	227	1.573280	0.313589	0.069634	0.000000
  	228	1.573392	0.313587	0.069793	0.000000
  	229	1.573498	0.313591	0.069949	0.000000
  	230	1.573596	0.313602	0.070101	0.000000
  	231	1.573686	0.313621	0.070248	0.000000
  	232	1.573769	0.313648	0.070390	0.000000
  	233	1.573844	0.313683	0.070525	0.000000
  	234	1.573913	0.313726	0.070652	0.000000
  	235	1.573979	0.313777	0.070771	0.000000
  	236	1.574047	0.313832	0.070883	0.000000
  	237	1.574122	0.313892	0.070989	0.000000
  	238	1.574206	0.313955	0.071092	0.000000
  	239	1.574298	0.314020	0.071196	0.000000
  	240	1.574395	0.314086	0.071305	0.000000
  	241	1.574491	0.314150	0.071426	0.000000
  	242	1.574584	0.314212	0.071560	0.000000
  	243	1.574671	0.314272	0.071711	0.000000
  	244	1.574752	0.314328	0.071880	0.000000
  	245	1.574827	0.314383	0.072065	0.000000
  	246	1.574900	0.314435	0.072267	0.000000
