	Frame	X	Y	Z	Reliability
	1	0.906631	0.261637	0.069819	0.000000
  	2	0.911154	0.263018	0.068789	0.000000
  	3	0.915501	0.264540	0.067511	0.000000
  	4	0.919574	0.266188	0.065947	0.000000
  	5	0.923299	0.267941	0.064075	0.000000
  	6	0.926624	0.269762	0.061890	0.000000
  	7	0.929527	0.271602	0.059411	0.000000
  	8	0.932012	0.273401	0.056682	0.000000
  	9	0.934111	0.275085	0.053769	0.000000
  	10	0.935872	0.276582	0.050764	0.000000
  	11	0.937357	0.277824	0.047766	0.000000
  	12	0.938628	0.278765	0.044874	0.000000
  	13	0.939740	0.279392	0.042175	0.000000
  	14	0.940733	0.279729	0.039730	0.000000
  	15	0.941631	0.279830	0.037579	0.000000
  	16	0.942449	0.279773	0.035740	0.000000
  	17	0.943191	0.279637	0.034214	0.000000
  	18	0.943863	0.279491	0.032983	0.000000
  	19	0.944469	0.279379	0.032015	0.000000
  	20	0.945014	0.279312	0.031274	0.000000
  	21	0.945501	0.279280	0.030719	0.000000
  	22	0.945927	0.279268	0.030313	0.000000
  	23	0.946292	0.279267	0.030023	0.000000
  	24	0.946593	0.279276	0.029821	0.000000
  	25	0.946835	0.279294	0.029684	0.000000
  	26	0.947023	0.279317	0.029595	0.000000
  	27	0.947164	0.279337	0.029538	0.000000
  	28	0.947265	0.279348	0.029501	0.000000
  	29	0.947332	0.279346	0.029476	0.000000
  	30	0.947373	0.279330	0.029457	0.000000
  	31	0.947392	0.279300	0.029439	0.000000
  	32	0.947396	0.279259	0.029421	0.000000
  	33	0.947389	0.279208	0.029400	0.000000
  	34	0.947375	0.279151	0.029375	0.000000
  	35	0.947359	0.279092	0.029347	0.000000
  	36	0.947342	0.279035	0.029316	0.000000
  	37	0.947327	0.278982	0.029282	0.000000
  	38	0.947315	0.278937	0.029246	0.000000
  	39	0.947307	0.278901	0.029209	0.000000
  	40	0.947303	0.278877	0.029173	0.000000
  	41	0.947303	0.278862	0.029136	0.000000
  	42	0.947309	0.278857	0.029102	0.000000
  	43	0.947318	0.278859	0.029069	0.000000
  	44	0.947330	0.278867	0.029037	0.000000
  	45	0.947345	0.278878	0.029008	0.000000
  	46	0.947362	0.278889	0.028981	0.000000
  	47	0.947380	0.278898	0.028956	0.000000
  	48	0.947399	0.278904	0.028932	0.000000
  	49	0.947418	0.278906	0.028910	0.000000
  	50	0.947436	0.278903	0.028888	0.000000
  	51	0.947452	0.278896	0.028868	0.000000
  	52	0.947466	0.278885	0.028848	0.000000
  	53	0.947477	0.278872	0.028830	0.000000
  	54	0.947485	0.278858	0.028812	0.000000
  	55	0.947491	0.278845	0.028795	0.000000
  	56	0.947494	0.278834	0.028778	0.000000
  	57	0.947496	0.278826	0.028760	0.000000
  	58	0.947497	0.278824	0.028740	0.000000
  	59	0.947500	0.278828	0.028717	0.000000
  	60	0.947505	0.278839	0.028690	0.000000
  	61	0.947513	0.278857	0.028657	0.000000
  	62	0.947525	0.278880	0.028620	0.000000
  	63	0.947539	0.278908	0.028579	0.000000
  	64	0.947557	0.278939	0.028535	0.000000
  	65	0.947576	0.278971	0.028491	0.000000
  	66	0.947596	0.279002	0.028447	0.000000
  	67	0.947614	0.279030	0.028405	0.000000
  	68	0.947631	0.279053	0.028368	0.000000
  	69	0.947644	0.279070	0.028337	0.000000
  	70	0.947652	0.279081	0.028314	0.000000
  	71	0.947654	0.279086	0.028299	0.000000
  	72	0.947650	0.279089	0.028289	0.000000
  	73	0.947641	0.279088	0.028285	0.000000
  	74	0.947631	0.279082	0.028287	0.000000
  	75	0.947622	0.279071	0.028295	0.000000
  	76	0.947615	0.279055	0.028309	0.000000
  	77	0.947612	0.279035	0.028327	0.000000
  	78	0.947613	0.279014	0.028347	0.000000
  	79	0.947618	0.278995	0.028367	0.000000
  	80	0.947625	0.278981	0.028384	0.000000
  	81	0.947635	0.278974	0.028397	0.000000
  	82	0.947647	0.278976	0.028406	0.000000
  	83	0.947662	0.278987	0.028411	0.000000
  	84	0.947678	0.279006	0.028413	0.000000
  	85	0.947695	0.279034	0.028413	0.000000
  	86	0.947714	0.279068	0.028412	0.000000
  	87	0.947733	0.279108	0.028409	0.000000
  	88	0.947752	0.279153	0.028406	0.000000
  	89	0.947771	0.279200	0.028404	0.000000
  	90	0.947791	0.279249	0.028401	0.000000
  	91	0.947810	0.279299	0.028400	0.000000
  	92	0.947830	0.279349	0.028399	0.000000
  	93	0.947852	0.279399	0.028398	0.000000
  	94	0.947877	0.279449	0.028398	0.000000
  	95	0.947905	0.279498	0.028397	0.000000
  	96	0.947940	0.279547	0.028395	0.000000
