	Frame	X	Y	Z	Reliability
	1	0.379328	0.398388	0.083152	0.000000
  	2	0.380145	0.398310	0.083440	0.000000
  	3	0.380718	0.398237	0.083765	0.000000
  	4	0.381118	0.398174	0.084133	0.000000
  	5	0.381406	0.398128	0.084550	0.000000
  	6	0.381631	0.398102	0.085026	0.000000
  	7	0.381834	0.398099	0.085571	0.000000
  	8	0.382045	0.398119	0.086199	0.000000
  	9	0.382289	0.398159	0.086924	0.000000
  	10	0.382583	0.398218	0.087762	0.000000
  	11	0.382945	0.398289	0.088729	0.000000
  	12	0.383386	0.398367	0.089841	0.000000
  	13	0.383920	0.398450	0.091111	0.000000
  	14	0.384556	0.398536	0.092556	0.000000
  	15	0.385305	0.398627	0.094189	0.000000
  	16	0.386178	0.398727	0.096023	0.000000
  	17	0.387187	0.398841	0.098070	0.000000
  	18	0.388349	0.398974	0.100342	0.000000
  	19	0.389681	0.399129	0.102850	0.000000
  	20	0.391207	0.399307	0.105605	0.000000
  	21	0.392953	0.399507	0.108615	0.000000
  	22	0.394949	0.399723	0.111889	0.000000
  	23	0.397224	0.399951	0.115433	0.000000
  	24	0.399812	0.400183	0.119252	0.000000
  	25	0.402743	0.400413	0.123346	0.000000
  	26	0.406047	0.400635	0.127715	0.000000
  	27	0.409746	0.400847	0.132349	0.000000
  	28	0.413859	0.401046	0.137237	0.000000
  	29	0.418398	0.401233	0.142358	0.000000
  	30	0.423362	0.401412	0.147688	0.000000
  	31	0.428747	0.401588	0.153193	0.000000
  	32	0.434535	0.401770	0.158836	0.000000
  	33	0.440706	0.401968	0.164569	0.000000
  	34	0.447238	0.402189	0.170336	0.000000
  	35	0.454110	0.402439	0.176070	0.000000
  	36	0.461309	0.402716	0.181695	0.000000
  	37	0.468831	0.403017	0.187128	0.000000
  	38	0.476679	0.403333	0.192280	0.000000
  	39	0.484862	0.403655	0.197061	0.000000
  	40	0.493390	0.403973	0.201386	0.000000
  	41	0.502276	0.404280	0.205177	0.000000
  	42	0.511528	0.404569	0.208368	0.000000
  	43	0.521149	0.404838	0.210907	0.000000
  	44	0.531139	0.405084	0.212758	0.000000
  	45	0.541494	0.405308	0.213901	0.000000
  	46	0.552207	0.405512	0.214328	0.000000
  	47	0.563268	0.405702	0.214046	0.000000
  	48	0.574671	0.405886	0.213074	0.000000
  	49	0.586408	0.406072	0.211441	0.000000
  	50	0.598473	0.406272	0.209184	0.000000
  	51	0.610861	0.406495	0.206349	0.000000
  	52	0.623569	0.406750	0.202984	0.000000
  	53	0.636590	0.407042	0.199144	0.000000
  	54	0.649921	0.407372	0.194887	0.000000
  	55	0.663555	0.407737	0.190268	0.000000
  	56	0.677485	0.408133	0.185346	0.000000
  	57	0.691703	0.408550	0.180179	0.000000
  	58	0.706204	0.408977	0.174821	0.000000
  	59	0.720977	0.409402	0.169329	0.000000
  	60	0.736012	0.409820	0.163756	0.000000
  	61	0.751299	0.410227	0.158154	0.000000
  	62	0.766820	0.410624	0.152570	0.000000
  	63	0.782558	0.411017	0.147048	0.000000
  	64	0.798494	0.411411	0.141629	0.000000
  	65	0.814607	0.411814	0.136350	0.000000
  	66	0.830873	0.412236	0.131246	0.000000
  	67	0.847266	0.412690	0.126345	0.000000
  	68	0.863752	0.413189	0.121676	0.000000
  	69	0.880299	0.413746	0.117257	0.000000
  	70	0.896874	0.414369	0.113106	0.000000
  	71	0.913444	0.415058	0.109231	0.000000
  	72	0.929972	0.415815	0.105637	0.000000
  	73	0.946415	0.416635	0.102326	0.000000
  	74	0.962723	0.417512	0.099298	0.000000
  	75	0.978843	0.418438	0.096549	0.000000
  	76	0.994714	0.419400	0.094070	0.000000
  	77	1.010274	0.420381	0.091847	0.000000
  	78	1.025452	0.421368	0.089864	0.000000
  	79	1.040176	0.422343	0.088099	0.000000
  	80	1.054367	0.423290	0.086532	0.000000
  	81	1.067951	0.424196	0.085136	0.000000
  	82	1.080854	0.425045	0.083887	0.000000
  	83	1.093009	0.425828	0.082757	0.000000
  	84	1.104354	0.426536	0.081722	0.000000
  	85	1.114839	0.427163	0.080761	0.000000
  	86	1.124421	0.427709	0.079857	0.000000
  	87	1.133074	0.428176	0.078997	0.000000
  	88	1.140784	0.428567	0.078175	0.000000
  	89	1.147553	0.428888	0.077392	0.000000
  	90	1.153404	0.429146	0.076654	0.000000
  	91	1.158376	0.429345	0.075972	0.000000
  	92	1.162527	0.429493	0.075361	0.000000
  	93	1.165933	0.429595	0.074838	0.000000
  	94	1.168689	0.429662	0.074415	0.000000
  	95	1.170902	0.429705	0.074103	0.000000
  	96	1.172689	0.429740	0.073903	0.000000
  	97	1.174163	0.429786	0.073810	0.000000
  	98	1.175419	0.429861	0.073816	0.000000
  	99	1.176526	0.429974	0.073906	0.000000
  	100	1.177524	0.430127	0.074063	0.000000
  	101	1.178429	0.430311	0.074266	0.000000
  	102	1.179242	0.430508	0.074495	0.000000
  	103	1.179963	0.430699	0.074732	0.000000
  	104	1.180594	0.430867	0.074963	0.000000
  	105	1.181141	0.431004	0.075181	0.000000
  	106	1.181615	0.431106	0.075380	0.000000
  	107	1.182020	0.431174	0.075557	0.000000
  	108	1.182365	0.431211	0.075713	0.000000
  	109	1.182655	0.431222	0.075847	0.000000
  	110	1.182896	0.431215	0.075962	0.000000
  	111	1.183093	0.431196	0.076062	0.000000
  	112	1.183253	0.431172	0.076149	0.000000
  	113	1.183381	0.431148	0.076227	0.000000
  	114	1.183482	0.431128	0.076296	0.000000
  	115	1.183561	0.431114	0.076360	0.000000
  	116	1.183625	0.431106	0.076420	0.000000
  	117	1.183677	0.431103	0.076477	0.000000
  	118	1.183721	0.431106	0.076533	0.000000
  	119	1.183760	0.431111	0.076588	0.000000
  	120	1.183798	0.431117	0.076644	0.000000
  	121	1.183837	0.431121	0.076702	0.000000
  	122	1.183878	0.431122	0.076762	0.000000
  	123	1.183924	0.431117	0.076826	0.000000
  	124	1.183974	0.431107	0.076894	0.000000
  	125	1.184029	0.431092	0.076968	0.000000
  	126	1.184086	0.431074	0.077048	0.000000
  	127	1.184146	0.431056	0.077136	0.000000
