TARGET::PROCESSED::RMT2
File	Frame	X 	Y 	Z 	Reliability
Coleta dinâmica0001.c3d_ ok.c3d	1	-0.556056	0.446713	0.032056	0.000000
 - 	2	-0.556635	0.446648	0.032030	0.000000
 - 	3	-0.556950	0.446576	0.032005	0.000000
 - 	4	-0.557077	0.446501	0.031982	0.000000
 - 	5	-0.557076	0.446425	0.031960	0.000000
 - 	6	-0.556996	0.446350	0.031941	0.000000
 - 	7	-0.556876	0.446276	0.031924	0.000000
 - 	8	-0.556742	0.446202	0.031908	0.000000
 - 	9	-0.556614	0.446131	0.031894	0.000000
 - 	10	-0.556502	0.446060	0.031881	0.000000
 - 	11	-0.556415	0.445992	0.031866	0.000000
 - 	12	-0.556353	0.445925	0.031851	0.000000
 - 	13	-0.556319	0.445861	0.031832	0.000000
 - 	14	-0.556312	0.445801	0.031810	0.000000
 - 	15	-0.556329	0.445745	0.031781	0.000000
 - 	16	-0.556370	0.445696	0.031746	0.000000
 - 	17	-0.556433	0.445654	0.031702	0.000000
 - 	18	-0.556516	0.445620	0.031648	0.000000
 - 	19	-0.556618	0.445595	0.031583	0.000000
 - 	20	-0.556740	0.445578	0.031506	0.000000
 - 	21	-0.556882	0.445570	0.031415	0.000000
 - 	22	-0.557046	0.445569	0.031313	0.000000
 - 	23	-0.557237	0.445574	0.031202	0.000000
 - 	24	-0.557459	0.445584	0.031088	0.000000
 - 	25	-0.557721	0.445597	0.030979	0.000000
 - 	26	-0.558036	0.445613	0.030891	0.000000
 - 	27	-0.558424	0.445629	0.030843	0.000000
 - 	28	-0.558909	0.445645	0.030865	0.000000
 - 	29	-0.559526	0.445661	0.030991	0.000000
 - 	30	-0.560318	0.445674	0.031260	0.000000
 - 	31	-0.561339	0.445688	0.031713	0.000000
 - 	32	-0.562654	0.445702	0.032392	0.000000
 - 	33	-0.564338	0.445717	0.033333	0.000000
 - 	34	-0.566477	0.445731	0.034565	0.000000
 - 	35	-0.569161	0.445742	0.036103	0.000000
 - 	36	-0.572482	0.445745	0.037943	0.000000
 - 	37	-0.576526	0.445741	0.040058	0.000000
 - 	38	-0.581369	0.445736	0.042398	0.000000
 - 	39	-0.587075	0.445742	0.044893	0.000000
 - 	40	-0.593689	0.445775	0.047462	0.000000
 - 	41	-0.601238	0.445850	0.050016	0.000000
 - 	42	-0.609730	0.445981	0.052471	0.000000
 - 	43	-0.619156	0.446180	0.054753	0.000000
 - 	44	-0.629496	0.446456	0.056803	0.000000
 - 	45	-0.640721	0.446817	0.058579	0.000000
 - 	46	-0.652792	0.447263	0.060056	0.000000
 - 	47	-0.665662	0.447793	0.061220	0.000000
 - 	48	-0.679279	0.448400	0.062066	0.000000
 - 	49	-0.693583	0.449076	0.062597	0.000000
 - 	50	-0.708510	0.449814	0.062824	0.000000
 - 	51	-0.723997	0.450607	0.062761	0.000000
 - 	52	-0.739980	0.451446	0.062425	0.000000
 - 	53	-0.756397	0.452323	0.061842	0.000000
 - 	54	-0.773193	0.453229	0.061038	0.000000
 - 	55	-0.790316	0.454155	0.060046	0.000000
 - 	56	-0.807721	0.455095	0.058901	0.000000
 - 	57	-0.825373	0.456042	0.057641	0.000000
 - 	58	-0.843239	0.456988	0.056305	0.000000
 - 	59	-0.861290	0.457928	0.054931	0.000000
 - 	60	-0.879500	0.458858	0.053557	0.000000
 - 	61	-0.897841	0.459775	0.052218	0.000000
 - 	62	-0.916286	0.460675	0.050946	0.000000
 - 	63	-0.934805	0.461558	0.049770	0.000000
 - 	64	-0.953369	0.462422	0.048714	0.000000
 - 	65	-0.971952	0.463266	0.047794	0.000000
 - 	66	-0.990530	0.464094	0.047022	0.000000
 - 	67	-1.009081	0.464909	0.046401	0.000000
 - 	68	-1.027583	0.465719	0.045928	0.000000
 - 	69	-1.046013	0.466538	0.045598	0.000000
 - 	70	-1.064346	0.467381	0.045402	0.000000
 - 	71	-1.082553	0.468267	0.045331	0.000000
 - 	72	-1.100602	0.469214	0.045379	0.000000
 - 	73	-1.118457	0.470239	0.045542	0.000000
 - 	74	-1.136076	0.471355	0.045822	0.000000
 - 	75	-1.153412	0.472566	0.046225	0.000000
 - 	76	-1.170412	0.473869	0.046761	0.000000
 - 	77	-1.187018	0.475250	0.047438	0.000000
 - 	78	-1.203164	0.476689	0.048264	0.000000
 - 	79	-1.218782	0.478154	0.049242	0.000000
 - 	80	-1.233799	0.479610	0.050364	0.000000
 - 	81	-1.248144	0.481018	0.051614	0.000000
 - 	82	-1.261744	0.482339	0.052961	0.000000
 - 	83	-1.274533	0.483531	0.054362	0.000000
 - 	84	-1.286449	0.484558	0.055762	0.000000
 - 	85	-1.297442	0.485386	0.057093	0.000000
 - 	86	-1.307469	0.485990	0.058280	0.000000
 - 	87	-1.316505	0.486347	0.059244	0.000000
 - 	88	-1.324536	0.486446	0.059907	0.000000
 - 	89	-1.331566	0.486282	0.060197	0.000000
 - 	90	-1.337615	0.485862	0.060058	0.000000
 - 	91	-1.342718	0.485200	0.059450	0.000000
 - 	92	-1.346931	0.484329	0.058359	0.000000
 - 	93	-1.350327	0.483289	0.056802	0.000000
 - 	94	-1.352997	0.482136	0.054832	0.000000
 - 	95	-1.355052	0.480934	0.052540	0.000000
 - 	96	-1.356617	0.479751	0.050045	0.000000
 - 	97	-1.357819	0.478653	0.047475	0.000000
 - 	98	-1.358774	0.477694	0.044951	0.000000
 - 	99	-1.359574	0.476909	0.042563	0.000000
 - 	100	-1.360277	0.476307	0.040377	0.000000
 - 	101	-1.360909	0.475878	0.038432	0.000000
 - 	102	-1.361477	0.475593	0.036752	0.000000
 - 	103	-1.361983	0.475417	0.035346	0.000000
 - 	104	-1.362427	0.475316	0.034205	0.000000
 - 	105	-1.362817	0.475257	0.033309	0.000000
 - 	106	-1.363164	0.475221	0.032625	0.000000
 - 	107	-1.363473	0.475196	0.032123	0.000000
 - 	108	-1.363743	0.475180	0.031768	0.000000
 - 	109	-1.363974	0.475172	0.031529	0.000000
 - 	110	-1.364164	0.475170	0.031378	0.000000
 - 	111	-1.364316	0.475171	0.031292	0.000000
 - 	112	-1.364436	0.475171	0.031251	0.000000
 - 	113	-1.364529	0.475171	0.031239	0.000000
 - 	114	-1.364599	0.475170	0.031244	0.000000
 - 	115	-1.364651	0.475169	0.031255	0.000000
 - 	116	-1.364690	0.475168	0.031267	0.000000
 - 	117	-1.364718	0.475166	0.031273	0.000000
 - 	118	-1.364739	0.475165	0.031272	0.000000
 - 	119	-1.364755	0.475164	0.031263	0.000000
 - 	120	-1.364768	0.475163	0.031244	0.000000
 - 	121	-1.364780	0.475162	0.031218	0.000000
 - 	122	-1.364790	0.475160	0.031187	0.000000
 - 	123	-1.364800	0.475157	0.031151	0.000000
 - 	124	-1.364809	0.475152	0.031113	0.000000
 - 	125	-1.364819	0.475145	0.031076	0.000000
 - 	126	-1.364829	0.475134	0.031039	0.000000
 - 	127	-1.364839	0.475121	0.031005	0.000000
 - 	128	-1.364850	0.475105	0.030974	0.000000
 - 	129	-1.364861	0.475085	0.030946	0.000000
 - 	130	-1.364873	0.475062	0.030921	0.000000
 - 	131	-1.364886	0.475035	0.030899	0.000000
 - 	132	-1.364900	0.475005	0.030879	0.000000
 - 	133	-1.364915	0.474972	0.030860	0.000000
 - 	134	-1.364931	0.474936	0.030843	0.000000
 - 	135	-1.364948	0.474898	0.030827	0.000000
 - 	136	-1.364966	0.474858	0.030812	0.000000
 - 	137	-1.364985	0.474817	0.030797	0.000000
 - 	138	-1.365004	0.474775	0.030784	0.000000
 - 	139	-1.365024	0.474733	0.030772	0.000000
 - 	140	-1.365042	0.474694	0.030762	0.000000
 - 	141	-1.365060	0.474657	0.030754	0.000000
 - 	142	-1.365075	0.474624	0.030748	0.000000
 - 	143	-1.365088	0.474597	0.030745	0.000000
 - 	144	-1.365098	0.474576	0.030743	0.000000
 - 	145	-1.365104	0.474561	0.030745	0.000000
 - 	146	-1.365107	0.474553	0.030748	0.000000
 - 	147	-1.365104	0.474552	0.030753	0.000000
 - 	148	-1.365097	0.474557	0.030759	0.000000
 - 	149	-1.365085	0.474566	0.030765	0.000000
 - 	150	-1.365070	0.474579	0.030769	0.000000
 - 	151	-1.365051	0.474594	0.030770	0.000000
 - 	152	-1.365031	0.474607	0.030766	0.000000
 - 	153	-1.365009	0.474619	0.030756	0.000000
 - 	154	-1.364988	0.474630	0.030742	0.000000
 - 	155	-1.364967	0.474639	0.030723	0.000000
 - 	156	-1.364947	0.474648	0.030700	0.000000
 - 	157	-1.364929	0.474657	0.030674	0.000000
 - 	158	-1.364913	0.474667	0.030646	0.000000
 - 	159	-1.364899	0.474679	0.030618	0.000000
 - 	160	-1.364887	0.474693	0.030590	0.000000
