,perna,Foot Toe X Location (cm.),Foot Toe Y Location (cm.),Foot Heel X Location (cm.),Foot Heel Y Location (cm.)
1,1: Left 1,541.46,84.083,546.392,83.175
2,2: Right 1,553.121,75.288,529.677,77.387
3,2: Left 1,557.025,47.644,536.636,40.154
4,2: Right 2,539.355,66.998,519.305,79.832
5,2: Left 2,501.528,61.699,477.771,60.996
6,2: Right 3,465.56,79.724,444.597,94.225
7,2: Left 3,422.009,80.398,397.323,76.857
8,2: Right 4,381.794,93.773,360.806,106.715
9,2: Left 4,338.353,93.019,314.81,89.537
10,2: Right 5,301.136,109.301,278.939,120.079
11,2: Left 5,257.679,104.48,238.728,91.883
12,2: Right 6,222.2,101.392,199.951,90.15
13,2: Left 6,215.285,50.958,209.363,72.708
14,2: Right 7,211.053,24.395,206.461,45.83
15,2: Left 7,257.452,39.355,233.826,41.437
16,2: Right 8,295.046,15.966,271.999,26.76
17,2: Left 8,340.217,48.23,317.764,38.066
18,2: Right 9,385.309,35.612,361.128,41.819
19,2: Left 9,426.319,66.737,404.661,58.119
20,2: Right 10,465.845,42.387,444.336,53.295
21,2: Left 10,510.086,61.427,486.373,58.979
22,2: Right 11,522.009,28.938,508.97,49.717
23,2: Left 11,550.253,44.084,537.69,62.545
24,2: Right 12,535.115,67.174,515.084,55.71
25,2: Left 12,558.677,55.321,543.323,39.411
26,2: Right 13,557.559,70.49,534.652,77.979
27,2: Left 13,561.426,50.868,541.158,41.933
