	Frame	X 	Y 	Z 
	1	0.149120	16.485167	13.674670
  	2	0.091543	16.607847	13.729822
  	3	0.353153	16.749838	13.792995
  	4	0.633269	16.914309	13.865593
  	5	0.929147	17.103706	13.947830
  	6	1.237418	17.319719	14.038973
  	7	1.554017	17.563330	14.137774
  	8	1.874258	17.835188	14.242597
  	9	2.193007	18.135345	14.351897
  	10	2.504838	18.463295	14.464172
  	11	2.804409	18.817772	14.578218
  	12	3.086591	19.196987	14.693163
  	13	3.346362	19.598442	14.807784
  	14	3.578445	20.019072	14.919905
  	15	3.777166	20.454994	15.026333
  	16	3.936147	20.901390	15.123130
  	17	4.048617	21.351772	15.206088
  	18	4.107219	21.798069	15.271049
  	19	4.104219	22.230747	15.313964
  	20	4.031482	22.640305	15.330806
  	21	3.880817	23.018208	15.317396
  	22	3.644154	23.357393	15.269723
  	23	3.313978	23.652283	15.184498
  	24	2.883780	23.898932	15.059476
  	25	2.348961	24.095266	14.893414
  	26	1.708154	24.241482	14.686478
  	27	0.964382	24.339857	14.440371
  	28	0.126388	24.395124	14.158701
  	29	0.790880	24.412741	13.846882
  	30	1.765939	24.397419	13.512205
  	31	2.771483	24.351107	13.163933
  	32	3.775017	24.272867	12.813437
  	33	4.740369	24.160097	12.474291
  	34	5.630063	24.011162	12.161803
  	35	6.409659	23.828180	11.891535
  	36	7.052143	23.619724	11.677152
  	37	7.540911	23.400957	11.528473
  	38	7.870681	23.189692	11.449569
  	39	8.046168	23.002218	11.438210
  	40	8.080121	22.849659	11.486856
  	41	7.990449	22.736956	11.584777
  	42	7.796655	22.664030	11.720447
  	43	7.517231	22.626509	11.883445
  	44	7.167557	22.617926	12.065674
  	45	6.760509	22.630943	12.260733
  	46	6.307740	22.658028	12.462634
  	47	5.820949	22.692221	12.664379
  	48	5.312922	22.727444	12.857935
  	49	4.796576	22.759813	13.034599
  	50	4.284239	22.787645	13.186480
  	51	3.787357	22.809999	13.307254
  	52	3.316294	22.824949	13.392406
  	53	2.880155	22.829599	13.440153
  	54	2.485717	22.821550	13.451391
  	55	2.137530	22.799595	13.429358
  	56	1.837725	22.764065	13.379748
  	57	1.586255	22.716457	13.309976
  	58	1.381205	22.659101	13.228914
  	59	1.219938	22.594608	13.145189
  	60	1.099951	22.524403	13.065404
  	61	1.019563	22.449593	12.993126
  	62	0.977414	22.371672	12.929014
  	63	0.972678	22.293922	12.871569
  	64	1.005430	22.221022	12.816966
  	65	1.077088	22.157681	12.759065
  	66	1.190848	22.108322	12.690805
  	67	1.351997	22.075562	12.605099
  	68	1.567651	22.060110	12.495240
  	69	1.845345	22.060894	12.355069
  	70	2.190939	22.075802	12.180316
  	71	2.607383	22.102755	11.968709
  	72	3.094224	22.140068	11.720160
  	73	3.647306	22.186462	11.436926
  	74	4.258858	22.239763	11.124614
  	75	4.916822	22.296682	10.792596
  	76	5.604774	22.353395	10.452697
  	77	6.302924	22.406418	10.116912
  	78	6.988993	22.453642	9.796878
  	79	7.640527	22.493938	9.502593
  	80	8.236552	22.527580	9.241393
  	81	8.759457	22.556482	9.017611
  	82	9.196112	22.583479	8.833680
  	83	9.538904	22.611719	8.691015
  	84	9.786283	22.643784	8.590236
  	85	9.942796	22.680885	8.531347
  	86	10.018365	22.722599	8.514346
  	87	10.027618	22.765905	8.539104
  	88	9.989020	22.804825	8.605659
  	89	9.923317	22.830830	8.714096
  	90	9.851988	22.833801	8.865216
  	91	9.795269	22.802700	9.060861
  	92	9.769986	22.727062	9.303136
  	93	9.787355	22.598410	9.593766
  	94	9.850237	22.412884	9.933399
  	95	9.951795	22.173384	10.321177
  	96	10.076094	21.891685	10.755511
  	97	10.201580	21.585745	11.235502
  	98	10.305618	21.273201	11.761363
  	99	10.368773	20.965832	12.333136
  	100	10.376758	20.668354	12.946902
  	101	10.321288	20.380596	13.590859
  	102	10.200413	20.101971	14.243058
  	103	10.019429	19.833012	14.872312
  	104	9.790671	19.575405	15.443628
  	105	9.530135	19.332010	15.926593
  	106	9.252209	19.107340	16.303232
  	107	8.966862	18.906372	16.570694
  	108	8.680260	18.732597	16.738445
  	109	8.396171	18.586254	16.822622
  	110	8.117465	18.464632	16.841774
  	111	7.846044	18.362635	16.814438
  	112	7.582550	18.274477	16.758461
  	113	7.326574	18.194813	16.690836
  	114	7.076902	18.118919	16.626755
  	115	6.832423	18.042795	16.578438
  	116	6.591953	17.963259	16.553904
  	117	6.354424	17.877792	16.556181
  	118	6.119023	17.784847	16.584576
  	119	5.885255	17.683756	16.635328
  	120	5.652954	17.574354	16.702919
  	121	5.422458	17.456856	16.780857
  	122	5.194198	17.332104	16.862694
  	123	4.968528	17.201490	16.942383
  	124	4.745750	17.067114	17.014969
  	125	4.525720	16.931824	17.077105
  	126	4.308428	16.798407	17.127636
  	127	4.093817	16.669449	17.167625
