	Frame	X 	Y 	Z 
	1	0.305645	0.789730	7.941271
  	2	0.108955	0.791393	7.743831
  	3	0.095169	0.786520	7.538976
  	4	0.300863	0.773524	7.331288
  	5	0.503044	0.750840	7.123721
  	6	0.697604	0.717205	6.918223
  	7	0.881467	0.671721	6.715834
  	8	1.052502	0.613962	6.517134
  	9	1.209165	0.543663	6.322472
  	10	1.350097	0.460692	6.132248
  	11	1.473902	0.365032	5.947127
  	12	1.578941	0.256585	5.768255
  	13	1.663304	0.135269	5.597667
  	14	1.725023	0.000824	5.438230
  	15	1.761939	0.147227	5.293581
  	16	1.772004	0.309623	5.167810
  	17	1.752928	0.487786	5.065297
  	18	1.702054	0.683641	4.990120
  	19	1.616147	0.899303	4.945955
  	20	1.491024	1.136569	4.935509
  	21	1.321797	1.396411	4.960596
  	22	1.103033	1.678359	5.022267
  	23	0.829318	1.980742	5.120686
  	24	0.496214	2.300689	5.255366
  	25	0.100553	2.634522	5.424828
  	26	0.358735	2.977929	5.627142
  	27	0.880795	3.326481	5.859559
  	28	1.463240	3.675931	6.118058
  	29	2.101830	4.022427	6.398170
  	30	2.790864	4.362426	6.695193
  	31	3.523444	4.692240	7.004713
  	32	4.291886	5.007984	7.322344
  	33	5.088249	5.306098	7.643970
  	34	5.904930	5.583813	7.965122
  	35	6.735332	5.840144	8.280656
  	36	7.574388	6.076027	8.584846
  	37	8.418568	6.293661	8.872336
  	38	9.265747	6.496050	9.138754
  	39	10.113985	6.686123	9.381435
  	40	10.960728	6.866131	9.599024
  	41	11.801886	7.036716	9.791498
  	42	12.632165	7.196699	9.959782
  	43	13.445386	7.343421	10.105746
  	44	14.234961	7.473166	10.231614
  	45	14.994796	7.581932	10.339631
  	46	15.719769	7.665774	10.431053
  	47	16.406155	7.721272	10.506528
  	48	17.052225	7.746023	10.565195
  	49	17.658039	7.738779	10.604593
  	50	18.225618	7.699813	10.620706
  	51	18.758623	7.631004	10.608836
  	52	19.262953	7.536245	10.563273
  	53	19.745911	7.420761	10.478252
  	54	20.213711	7.288430	10.350973
  	55	20.669636	7.140308	10.183276
  	56	21.113983	6.975319	9.980774
  	57	21.545748	6.791939	9.750920
  	58	21.964243	6.589767	9.502885
  	59	22.369677	6.370163	9.247486
  	60	22.762915	6.135843	8.996099
  	61	23.145046	5.890534	8.759834
  	62	23.517063	5.638725	8.548953
  	63	23.879839	5.385475	8.372436
  	64	24.233835	5.136172	8.237856
  	65	24.579659	4.896006	8.150659
  	66	24.917547	4.669415	8.113544
  	67	25.248430	4.459608	8.126703
  	68	25.573477	4.268200	8.187735
  	69	25.894279	4.095530	8.291281
  	70	26.211599	3.940061	8.430410
  	71	26.524029	3.798849	8.597512
  	72	26.827892	3.667305	8.785961
  	73	27.117285	3.539953	8.990092
  	74	27.385248	3.411487	9.205306
