	Frame	X 	Y 	Z 
	1	8.103337	3.093983	0.510900
  	2	8.245087	3.032164	0.537183
  	3	8.410739	2.965433	0.550205
  	4	8.604554	2.893397	0.545077
  	5	8.830791	2.816553	0.519854
  	6	9.093390	2.735808	0.474918
  	7	9.395738	2.652299	0.412615
  	8	9.740557	2.567308	0.336898
  	9	10.130391	2.482478	0.252207
  	10	10.567712	2.399942	0.163293
  	11	11.055178	2.322440	0.074189
  	12	11.595741	2.253262	0.012481
  	13	12.192635	2.195790	0.095954
  	14	12.849116	2.153049	0.177165
  	15	13.568700	2.126865	0.258368
  	16	14.354735	2.117727	0.342669
  	17	15.211132	2.124992	0.433967
  	18	16.142185	2.146801	0.535973
  	19	17.152740	2.180279	0.651800
  	20	18.248196	2.221957	0.782640
  	21	19.434132	2.267814	0.927648
  	22	20.715830	2.313050	1.084221
  	23	22.097425	2.352070	1.248650
  	24	23.581026	2.378146	1.416926
  	25	25.166344	2.383625	1.584363
  	26	26.850100	2.360256	1.746376
  	27	28.626059	2.299928	1.898646
  	28	30.485439	2.195436	2.036965
  	29	32.416672	2.041321	2.158486
  	30	34.405872	1.834667	2.262239
  	31	36.437191	1.575159	2.350036
  	32	38.492981	1.265640	2.426507
  	33	40.554169	0.911944	2.499714
  	34	42.600868	0.523129	2.580053
  	35	44.612598	0.111070	2.678708
  	36	46.568783	0.310244	2.805488
  	37	48.448921	0.726250	2.966737
  	38	50.233253	1.122909	3.163432
  	39	51.903248	1.488333	3.391145
  	40	53.441967	1.813589	3.641269
  	41	54.834141	2.093542	3.903031
  	42	56.067013	2.326731	4.165030
  	43	57.130844	2.514376	4.416918
  	44	58.019089	2.659400	4.650346
  	45	58.728405	2.765697	4.858917
  	46	59.258408	2.837126	5.037142
  	47	59.611420	2.877712	5.179656
  	48	59.792336	2.890932	5.280779
  	49	59.808483	2.879308	5.334417
  	50	59.669456	2.843415	5.335199
  	51	59.386562	2.781734	5.279207
  	52	58.973274	2.689364	5.164199
  	53	58.444077	2.559322	4.990050
  	54	57.811657	2.387045	4.758171
  	55	57.084885	2.173103	4.471110
  	56	56.268875	1.922827	4.133007
  	57	55.367191	1.644278	3.749531
  	58	54.383808	1.347543	3.329044
  	59	53.324055	1.043907	2.882324
  	60	52.194946	0.744529	2.421221
  	61	51.004246	0.459707	1.957457
  	62	49.760502	0.198546	1.502079
  	63	48.472443	0.031403	1.065312
  	64	47.148628	0.224489	0.655674
  	65	45.797485	0.377059	0.279210
  	66	44.425804	0.488016	0.060631
  	67	43.038841	0.558964	0.362833
  	68	41.640018	0.593836	0.629756
  	69	40.232464	0.598175	0.868452
  	70	38.818958	0.576916	1.090069
  	71	37.401203	0.533234	1.308279
  	72	35.979584	0.467605	1.536215
  	73	34.553223	0.379610	1.784403
  	74	33.120655	0.269824	2.058707
  	75	31.681467	0.141308	2.359780
  	76	30.238064	0.000344	2.682963
  	77	28.796446	0.147219	3.019389
  	78	27.366804	0.289926	3.357790
  	79	25.961842	0.418976	3.687950
  	80	24.596714	0.527092	4.003206
  	81	23.287924	0.610448	4.299232
  	82	22.052174	0.668209	4.572053
  	83	20.905012	0.702370	4.815958
  	84	19.860540	0.717040	5.022954
  	85	18.930414	0.718028	5.182264
  	86	18.124161	0.712874	5.280631
